arquitetura,cenario,agente,barra,energia_disponivel_kwh,energia_gerada_kwh,energia_cortada_kwh,curtailment_percentual
leader_follower,C0_perda_0.20,pv2,816,805.2138376053578,457.98972690730324,347.2241106980545,43.12197511789807
leader_follower,C0_perda_0.20,pv1,824,966.2571186965437,562.3432789262993,403.9138397702444,41.801900545386296
leader_follower,C0_perda_0.20,pv3,828,644.1714321538241,377.8941600843237,266.2772720695004,41.3363987873829
leader_follower,C0_perda_0.20,pv4,830,837.4233087374536,493.07470822632087,344.34860051113264,41.120016235312576
leader_follower,C0_perda_0.20,pv5,850,579.7539476035919,340.979283821422,238.77466378216988,41.18551754052611
leader_follower,C0_perda_0.20,pv6,832,740.7979304111907,437.5501105858002,303.2478198253905,40.935295223768826
leaderless,C1,pv2,816,805.21384162772,448.05059916779476,357.1632424599252,44.35632176142532
leaderless,C1,pv1,824,966.2571236820072,551.985981418457,414.27114226355025,42.873799541568594
leaderless,C1,pv3,828,644.1714354375739,376.649288141408,267.5221472961659,41.52965073877313
leaderless,C1,pv4,830,837.4233106961308,497.2715676196204,340.15174307651034,40.61885294233689
leaderless,C1,pv5,850,579.7539504886245,345.7959928030569,233.9579576855675,40.35469831441158
leaderless,C1,pv6,832,740.7979257064533,448.7258034505263,292.07212225592696,39.426692775549526
leaderless,C2,pv2,816,805.2138250282283,259.9492940933517,545.2645309348767,67.71673734188076
leaderless,C2,pv1,824,966.2570999338446,617.3945082239117,348.86259170993293,36.10453074381735
leaderless,C2,pv3,828,644.1714193472983,412.5969436642116,231.5744756830867,35.94920058976347
leaderless,C2,pv4,830,837.4232804251515,535.0764403017794,302.346840123372,36.10442260094244
leaderless,C2,pv5,850,579.7539385846405,367.88534121700457,211.86859736763597,36.54457232060778
leaderless,C2,pv6,832,740.7978799303713,472.24527710330096,268.55260282707036,36.25180499332855
leaderless,C3_lider_curta,pv2,816,805.2138411035278,459.0634290752781,346.15041202824966,42.98863163527569
leaderless,C3_lider_curta,pv1,824,966.2571231848005,562.3000049741352,403.9571182106654,41.8063793288494
leaderless,C3_lider_curta,pv3,828,644.1714351559094,378.7350117539403,265.4364234019691,41.20586677950494
leaderless,C3_lider_curta,pv4,830,837.4233128270253,492.949488922719,344.47382390430624,41.13496945068442
leaderless,C3_lider_curta,pv5,850,579.7539501124313,338.45450548511724,241.2994446273141,41.62100915060933
leaderless,C3_lider_curta,pv6,832,740.7979340918753,437.066188520835,303.7317455710403,41.00061995223799
leaderless,C3_lider_longa,pv2,816,805.2138352880274,428.77148519368376,376.4423500943437,46.75060631064407
leaderless,C3_lider_longa,pv1,824,966.2571150080624,570.9023851187115,395.35472988935084,40.916100254128736
leaderless,C3_lider_longa,pv3,828,644.1714296238989,383.9486366061997,260.2227930176992,40.39651264410018
leaderless,C3_lider_longa,pv4,830,837.4233027288217,499.36076520623845,338.0625375225832,40.369373102106785
leaderless,C3_lider_longa,pv5,850,579.7539459417516,342.92873803104817,236.82520791070334,40.84926192714477
leaderless,C3_lider_longa,pv6,832,740.7979192691553,442.3152908847924,298.4826283843629,40.29204464813227
leaderless,C3_naolider_curta,pv2,816,805.2138411842161,458.8459067156113,346.36793446860486,43.01564587603296
leaderless,C3_naolider_curta,pv1,824,966.2571232794933,562.1981880504427,404.05893522905046,41.816916584031745
leaderless,C3_naolider_curta,pv3,828,644.1714352175361,378.67968578386524,265.4917494336709,41.21445548792684
leaderless,C3_naolider_curta,pv4,830,837.4233128298941,492.9560045072102,344.46730832268395,41.13419139940467
leaderless,C3_naolider_curta,pv5,850,579.7539501702978,338.5202515469486,241.23369862334926,41.60966881769222
leaderless,C3_naolider_curta,pv6,832,740.7979338915677,437.3346689664378,303.4632649251299,40.96437787440543
leaderless,C3_naolider_longa,pv2,816,805.2138430264063,447.9252161072182,357.2886269191881,44.3718932571147
leaderless,C3_naolider_longa,pv1,824,966.2571242840769,548.5363793103922,417.72074497368476,43.23080621870541
leaderless,C3_naolider_longa,pv3,828,644.1714355899402,369.5656886425518,274.6057469473884,42.62929583270035
leaderless,C3_naolider_longa,pv4,830,837.4232989464183,480.8001202408477,356.62317870557064,42.58577223182667
leaderless,C3_naolider_longa,pv5,850,579.753951491012,329.7797388919118,249.97421259910016,43.11729345806374
leaderless,C3_naolider_longa,pv6,832,740.7978849757853,490.1636029331673,250.63428204261794,33.833018037141194
leaderless,C0,pv2,816,805.2138405669591,459.84568688370405,345.36815368325506,42.891482520975785
leaderless,C0,pv1,824,966.2571225078455,562.7801911875479,403.4769313202977,41.756683797900976
leaderless,C0,pv3,828,644.1714347086315,378.8261995783573,265.3452351302742,41.191710906941076
leaderless,C0,pv4,830,837.4233124982617,492.8561799362694,344.56713256199225,41.14611181936824
leaderless,C0,pv5,850,579.753949727588,338.36191672867517,241.3920329989128,41.63697946557103
leaderless,C0,pv6,832,740.7979345230931,435.9172783582874,304.88065616480566,41.15571088370813
leaderless,C0_perda_0.05,pv2,816,805.2138393540158,459.8981449214269,345.3156944325889,42.88496763910801
leaderless,C0_perda_0.05,pv1,824,966.2571209370614,562.8640311707762,403.39308976628513,41.748006925432094
leaderless,C0_perda_0.05,pv3,828,644.1714336578486,378.887180498721,265.2842531591275,41.18224424401178
leaderless,C0_perda_0.05,pv4,830,837.4233110763143,492.9269520895193,344.49635898679514,41.137660539211005
leaderless,C0_perda_0.05,pv5,850,579.7539488576746,338.3943825364297,241.35956632124487,41.63137944930098
leaderless,C0_perda_0.05,pv6,832,740.7979332902548,435.9710346116376,304.8268986786172,41.148454251853565
leaderless,C0_perda_0.10,pv2,816,805.2138376769535,459.9680573595466,345.2457803174069,42.876285051613486
leaderless,C0_perda_0.10,pv1,824,966.2571187868806,562.9973450468013,403.2597737400792,41.734209859831616
leaderless,C0_perda_0.10,pv3,828,644.1714322186438,378.99463708827375,265.17679513036995,41.165562747334626
leaderless,C0_perda_0.10,pv4,830,837.42330906094,493.0798586723678,344.34345038857225,41.1194012231052
leaderless,C0_perda_0.10,pv5,850,579.7539476549167,338.514845714765,241.23910194015178,41.61060099995093
leaderless,C0_perda_0.10,pv6,832,740.797931332671,436.06068769409796,304.73724363857303,41.136351864584825
leaderless,C0_perda_0.20,pv2,816,805.2138393819714,459.92909348754847,345.28474589442294,42.88112411970472
leaderless,C0_perda_0.20,pv1,824,966.2571209818932,562.8740772167079,403.38304376518533,41.746967241522086
leaderless,C0_perda_0.20,pv3,828,644.1714336877404,378.85629667441617,265.31513701332426,41.187038595370986
leaderless,C0_perda_0.20,pv4,830,837.4233111025999,492.94387738662624,344.47943371597364,41.13563942498951
leaderless,C0_perda_0.20,pv5,850,579.7539488777245,338.50461828919504,241.24933058852952,41.61236522071732
leaderless,C0_perda_0.20,pv6,832,740.7979332649259,435.90889453092626,304.88903873399966,41.156842513080356
